[2025-10-21 21:02:55] [INFO    ] discord.client: logging in using static token
[2025-10-21 21:02:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-21 21:02:55] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-21 21:02:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1430026686224793750', 'username': 'bot1430026686224793750', 'avatar': None, 'discriminator': '9069', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-21 21:02:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-21 21:02:55] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-21 21:02:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1430026686224793750', 'name': 'bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1430026686224793750', 'username': 'bot1430026686224793750', 'avatar': None, 'discriminator': '9069', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '70981baa0a6e5c9f4a3d7feabc106fb52768a00a59fbe568c5f8972ea9ee6276', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '638091480564629554', 'username': 'mattyatch', 'avatar': None, 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-21 21:02:56] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-21 21:02:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-pzp1",{"micros":0.0}]']}}
[2025-10-21 21:02:56] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-21 21:02:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-21 21:02:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'bot1430026686224793750', 'primary_guild': None, 'mfa_enabled': False, 'id': '1430026686224793750', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9069', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'f026cd03c7a0d9bab3c6c2d650a844ec', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1430023839873499280'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'us-east', 'atlanta', 'newark', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1430026686224793750', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-pzp1",{"micros":162012,"calls":["id_created",{"micros":346,"calls":[]},"session_lookup_time",{"micros":1634,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-104",{"micros":159681,"calls":["start_session",{"micros":137104,"calls":["discord-api-rpc-5b5d9f69c-926k8",{"micros":70956,"calls":["get_user",{"micros":8470},"get_guilds",{"micros":2389},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":2213},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":45837},"apex_experiments",{"micros":8033},"user_activities",{"micros":6},"played_application_ids",{"micros":4},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":8164,"calls":[]},"guilds_started",{"micros":76,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":14282,"calls":[]},"connect_finished",{"micros":14290,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-10-21 21:02:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-21 21:02:56] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: f026cd03c7a0d9bab3c6c2d650a844ec).
[2025-10-21 21:02:56] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-21 21:02:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'roles': [{'version': 1761014652138, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1430023839873499280', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761093570586, 'unicode_emoji': None, 'tags': {'bot_id': '1430026686224793750'}, 'position': 2, 'permissions': '563276639759424', 'name': 'bot', 'mentionable': False, 'managed': True, 'id': '1430028787474632759', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761093570580, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'kum lord', 'mentionable': False, 'managed': False, 'id': '1430042326323171459', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'features': [], 'owner_id': '638091480564629554', 'system_channel_flags': 0, 'banner': None, 'region': 'deprecated', 'profile': None, 'stage_instances': [], 'moderator_reporting': None, 'member_count': 2, 'max_video_channel_users': 25, 'afk_timeout': 300, 'unavailable': False, 'members': [{'user': {'username': 'bot1430026686224793750', 'public_flags': 0, 'primary_guild': None, 'id': '1430026686224793750', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9069', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1430028787474632759'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-21T03:03:51.645000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_command_counts': {}, 'discovery_splash': None, 'id': '1430023839873499280', 'max_members': 25000000, 'name': 'Python_bot_testing', 'premium_subscription_count': 0, 'presences': [], 'inventory_settings': None, 'public_updates_channel_id': None, 'premium_tier': 0, 'system_channel_id': '1430023840553242677', 'verification_level': 0, 'activity_instances': [], 'splash': None, 'threads': [], 'latest_onboarding_question_id': None, 'explicit_content_filter': 0, 'afk_channel_id': None, 'icon': '2325a408236dd0c0203f7c03a7c00d0a', 'nsfw_level': 0, 'description': '', 'default_message_notifications': 0, 'voice_states': [], 'large': False, 'soundboard_sounds': [], 'incidents_data': None, 'max_stage_video_channel_users': 50, 'premium_features': None, 'home_header': None, 'hub_type': None, 'vanity_url_code': None, 'nsfw': False, 'application_id': None, 'safety_alerts_channel_id': None, 'guild_scheduled_events': [], 'joined_at': '2025-10-21T03:03:51.645000+00:00', 'stickers': [], 'channels': [{'version': 1761014652149, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1430023840553242675', 'flags': 0}, {'version': 1761014652158, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1430023840553242676', 'flags': 0}, {'version': 1761014652168, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1430023840553242675', 'name': 'general', 'last_message_id': '1430359322365268189', 'id': '1430023840553242677', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1761014652177, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1430023840553242676', 'name': 'General', 'last_message_id': None, 'id': '1430023840553242678', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'embedded_activities': [], 'emojis': [], 'premium_progress_bar_enabled': False, 'rules_channel_id': None, 'lazy': True, 'mfa_level': 0, 'preferred_locale': 'en-US', 'version': 1761094669830, 'owner_configured_content_level': 0}}
[2025-10-21 21:02:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-21 21:02:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '18f178d43d3f2f69ce4ee154c1c22f8b', 'members': [{'user': {'username': 'mattyatch', 'public_flags': 0, 'primary_guild': None, 'id': '638091480564629554', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-21T02:44:12.086000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'bot1430026686224793750', 'public_flags': 0, 'primary_guild': None, 'id': '1430026686224793750', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9069', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1430028787474632759'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-21T03:03:51.645000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1430023839873499280', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-21 21:02:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-21 21:02:56] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1430023839873499280.
[2025-10-21 21:02:58] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-21 21:02:58] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-21 21:03:37] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-10-21 21:03:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-21 21:04:18] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-10-21 21:04:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
